ID_ESCOLA;REDE;VL_OBSERVADO_2023
11017899;Municipal;5.3
11017988;Estadual;
11018089;Estadual;
11018143;Municipal;
11018216;Estadual;
11018267;Estadual;4.6
11018810;Estadual;
11018950;Estadual;5.2
11046430;Municipal;
11048441;Estadual;
11009306;Estadual;
11038268;Municipal;5.0
11028750;Estadual;
11028840;Municipal;5.4
11029056;Estadual;
11029064;Municipal;6.1
11029099;Estadual;6.9
11029110;Estadual;
11029161;Estadual;
11029170;Estadual;
11029307;Estadual;
11029412;Estadual;
11029439;Estadual;
11029455;Estadual;
11029480;Estadual;
11038934;Municipal;5.6
11045051;Municipal;6.3
11046104;Municipal;6.1
11048646;Municipal;5.6
11050187;Municipal;7.0
11050195;Municipal;6.6
11050217;Municipal;6.1
11029749;Municipal;
11029951;Estadual;
11039132;Municipal;5.6
11042419;Municipal;
11033266;Municipal;
11033347;Municipal;4.9
11033363;Estadual;
11033380;Municipal;
11033398;Municipal;6.6
11033428;Estadual;
11033452;Municipal;
11033487;Estadual;
11033533;Municipal;5.1
11033576;Estadual;
11033649;Estadual;
11033657;Municipal;5.7
11033673;Municipal;4.9
11033681;Municipal;
11033762;Municipal;
11033819;Estadual;
11033827;Estadual;
11033835;Estadual;
11037440;Municipal;6.2
11039760;Municipal;
11041960;Municipal;6.1
11042397;Municipal;
11043660;Municipal;5.8
11046325;Municipal;4.6
11046694;Municipal;5.4
11047224;Estadual;
11047615;Municipal;5.4
11050390;Municipal;5.2
11050411;Municipal;5.9
11060808;Municipal;5.8
11022361;Municipal;6.1
11022370;Municipal;
11022388;Municipal;5.5
11022450;Estadual;
11022469;Municipal;
11022809;Municipal;6.0
11022841;Municipal;5.0
11022949;Municipal;
11022981;Estadual;
11042508;Municipal;5.6
11074809;Municipal;
11003979;Estadual;
11003987;Municipal;4.3
11004118;Municipal;5.4
11004240;Municipal;4.6
11004274;Estadual;
11038357;Municipal;3.3
11040327;Municipal;5.8
11046210;Municipal;
11046945;Municipal;4.2
11048247;Estadual;
11049111;Municipal;5.2
11049227;Municipal;
11000589;Municipal;
11023309;Municipal;
11023341;Municipal;
11023430;Estadual;6.3
11023449;Municipal;
11023490;Municipal;
11023554;Municipal;
11023660;Estadual;5.3
11023678;Estadual;
11057807;Municipal;5.2
11024437;Estadual;
11024690;Municipal;
11024712;Municipal;
11025050;Municipal;
11025492;Municipal;4.8
11031840;Municipal;
11040947;Municipal;5.3
11048468;Municipal;6.2
11009888;Estadual;
11009918;Municipal;3.7
11009950;Municipal;
11009977;Municipal;3.8
11010037;Municipal;
11010126;Municipal;
11044179;Municipal;5.0
11045434;Municipal;
11048140;Estadual;
11004428;Estadual;
11039582;Estadual;
11041641;Municipal;5.3
11042028;Estadual;
11044187;Municipal;5.5
11044225;Municipal;6.0
11044233;Municipal;5.5
11044292;Municipal;
11044306;Municipal;
11045558;Municipal;
11045906;Municipal;4.9
11045914;Estadual;
11047399;Municipal;5.1
11062800;Municipal;4.4
11030003;Estadual;
11030372;Estadual;
11048379;Municipal;6.1
11048387;Municipal;6.1
11041463;Municipal;5.0
11043067;Municipal;
11046074;Municipal;4.6
11004347;Estadual;
11004452;Municipal;4.7
11004606;Municipal;
11004738;Municipal;5.3
11037172;Municipal;4.7
11039779;Municipal;4.4
11004860;Municipal;4.3
11004894;Estadual;
11005050;Estadual;4.4
11038640;Municipal;3.8
11040416;Municipal;5.5
11045043;Municipal;4.3
11048689;Municipal;4.5
11049693;Municipal;4.9
11030666;Estadual;
11030801;Municipal;5.2
11030895;Municipal;5.0
11032065;Municipal;5.1
11033290;Municipal;6.7
11033371;Estadual;
11043601;Municipal;5.2
11043792;Municipal;5.8
11009136;Municipal;4.7
11009152;Estadual;
11009543;Municipal;4.1
11038780;Municipal;
11053402;Municipal;4.5
11019034;Municipal;
11019115;Estadual;
11019140;Estadual;
11019190;Municipal;5.2
11019212;Municipal;
11019581;Municipal;
11043334;Municipal;4.6
11045647;Municipal;4.4
11045655;Municipal;
11005092;Municipal;
11005122;Municipal;6.5
11005165;Municipal;5.6
11040882;Estadual;
11031000;Municipal;
11031034;Municipal;
11031298;Estadual;
11031352;Municipal;
11042630;Municipal;5.7
11019727;Municipal;
11019743;Estadual;
11019778;Municipal;
11019948;Estadual;
11038136;Municipal;5.6
11045450;Municipal;5.0
11010932;Municipal;4.4
11010940;Estadual;
11011106;Municipal;
11038144;Municipal;
11038160;Municipal;
11043210;Municipal;4.8
11046082;Municipal;5.2
11016469;Municipal;5.0
11017120;Estadual;
11042664;Municipal;3.7
11043385;Municipal;
11048964;Municipal;5.5
11031689;Estadual;
11043610;Municipal;5.0
11041781;Municipal;5.6
11032189;Estadual;
11041811;Municipal;5.9
11042583;Municipal;6.1
11031964;Estadual;
11032359;Estadual;
11043580;Municipal;5.7
11043598;Municipal;5.3
11005475;Estadual;
11005742;Municipal;5.9
11042451;Municipal;5.9
11046619;Municipal;5.7
11046961;Estadual;
11047070;Municipal;
11047437;Municipal;6.4
11049529;Municipal;
11050608;Municipal;5.8
11022884;Estadual;
11023872;Municipal;
11023996;Municipal;
11024003;Municipal;5.3
11024046;Municipal;
11024097;Estadual;
11024135;Municipal;4.9
11024224;Municipal;
11039221;Municipal;5.2
11016850;Municipal;6.3
11017384;Estadual;
11017660;Municipal;
11041196;Municipal;5.6
11020296;Municipal;
11020326;Estadual;5.8
11040238;Municipal;
11041340;Municipal;5.1
11041692;Municipal;
11041722;Municipal;
11047240;Municipal;
11020482;Municipal;
11020490;Municipal;
11020504;Estadual;
11020512;Municipal;
11020610;Municipal;
11020822;Municipal;
11020962;Municipal;5.5
11023473;Municipal;
11046449;Municipal;5.3
11008105;Estadual;
11008822;Municipal;
11008938;Municipal;4.5
11008989;Municipal;
11009020;Municipal;
11039035;Municipal;
11041552;Municipal;
11043970;Municipal;
11021217;Municipal;4.1
11021403;Estadual;
11038420;Municipal;5.0
11043903;Municipal;
12008966;Municipal;4.9
12009156;Municipal;
12009164;Estadual;
12009229;Estadual;
12018422;Estadual;
12023531;Municipal;5.2
12023582;Municipal;4.8
12028312;Municipal;
12048224;Municipal;5.5
12015873;Municipal;5.5
12015946;Estadual;
12030244;Municipal;4.6
12033103;Municipal;5.2
12016250;Estadual;
12016438;Estadual;7.6
12016535;Municipal;6.2
12016993;Municipal;4.9
12018805;Municipal;4.9
12026948;Estadual;
12028347;Municipal;5.4
12032905;Municipal;5.1
12046043;Municipal;5.7
12009407;Municipal;4.1
12009466;Municipal;4.3
12009555;Estadual;4.4
12009679;Estadual;
12020680;Estadual;4.0
12026115;Estadual;
12009725;Estadual;
12009776;Municipal;3.3
12009792;Municipal;
12009881;Municipal;4.5
12026131;Municipal;
12000094;Estadual;6.5
12000132;Municipal;5.0
12000159;Estadual;5.3
12000167;Estadual;
12000248;Municipal;4.7
12000280;Estadual;
12000345;Estadual;4.9
12000370;Estadual;
12000396;Municipal;4.9
12000434;Estadual;
12000442;Estadual;
12000469;Estadual;
12000558;Municipal;5.1
12000574;Municipal;
12000590;Municipal;
12000663;Estadual;7.1
12000701;Estadual;6.0
12000736;Estadual;
12000876;Estadual;6.2
12000914;Estadual;
12001007;Municipal;5.1
12001015;Estadual;
12001031;Estadual;4.2
12001066;Estadual;5.9
12001139;Estadual;
12001147;Municipal;4.7
12001171;Municipal;4.6
12001180;Estadual;
12001198;Municipal;
12001228;Estadual;
12001236;Estadual;6.8
12001260;Estadual;7.2
12001279;Estadual;6.1
12001309;Estadual;4.7
12001333;Estadual;4.8
12001341;Municipal;
12001350;Estadual;
12001392;Municipal;4.4
12001422;Estadual;
12001457;Estadual;7.2
12001554;Estadual;4.7
12001597;Municipal;4.8
12001627;Estadual;
12021890;Municipal;4.6
12021920;Municipal;5.8
12021962;Estadual;
12023183;Municipal;5.2
12026565;Municipal;5.6
12026603;Municipal;4.5
12027286;Municipal;
12027901;Municipal;4.8
12028665;Municipal;5.1
12029718;Estadual;
12032492;Municipal;4.7
12057223;Estadual;5.0
