CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1500404;Municipal;3.5
1500404;Pública;3.8
1500503;Municipal;3.2
1500503;Pública;3.2
1500602;Municipal;4.4
1500602;Pública;4.4
1500701;Municipal;3.3
1500701;Pública;3.3
1500800;Estadual;4.9
1500800;Municipal;5.3
1500800;Pública;5.1
1500859;Municipal;3.7
1500859;Pública;3.7
1500909;Municipal;3.6
1500909;Pública;3.6
1500958;Estadual;5.2
1500958;Municipal;4.1
1500958;Pública;4.2
1501006;Municipal;3.7
1501006;Pública;3.7
1501105;Municipal;3.4
1501105;Pública;3.4
1501204;Municipal;3.8
1501204;Pública;3.8
1501253;Municipal;3.6
1501253;Pública;3.6
1501303;Estadual;3.9
1501303;Municipal;3.9
1501303;Pública;3.9
1501402;Federal;6.1
1501402;Estadual;4.8
1501402;Municipal;4.7
1501402;Pública;4.8
1501451;Municipal;4.8
1501451;Pública;4.8
1501501;Estadual;5.0
1501501;Municipal;5.6
1501501;Pública;5.3
1501576;Estadual;
1501576;Municipal;4.3
1501576;Pública;4.5
1501600;Estadual;4.2
1501600;Pública;4.2
1501709;Estadual;4.8
1501709;Municipal;
1501709;Pública;4.6
1501725;Municipal;5.1
1501725;Pública;5.1
1501758;Municipal;4.6
1501758;Pública;4.6
1501782;Municipal;4.0
1501782;Pública;4.0
1501808;Municipal;2.8
1501808;Pública;2.8
1501907;Estadual;5.0
1501907;Municipal;3.7
1501907;Pública;4.0
1501956;Estadual;
1501956;Municipal;3.9
1501956;Pública;3.9
1502004;Estadual;4.6
1502004;Municipal;3.8
1502004;Pública;4.2
1502103;Municipal;3.5
1502103;Pública;3.5
1502152;Municipal;4.4
1502152;Pública;4.4
1502202;Estadual;4.9
1502202;Pública;4.9
1502301;Estadual;4.6
1502301;Municipal;4.6
1502301;Pública;4.6
1502400;Estadual;4.8
1502400;Municipal;4.1
1502400;Pública;4.4
1502509;Municipal;3.1
1502509;Pública;3.1
1502608;Estadual;4.4
1502608;Pública;4.4
1502707;Estadual;4.4
1502707;Municipal;3.7
1502707;Pública;4.1
1502756;Estadual;3.7
1502756;Municipal;3.7
1502756;Pública;3.6
1502764;Municipal;3.6
1502764;Pública;3.6
1502772;Estadual;
1502772;Municipal;5.0
1502772;Pública;5.0
1502806;Estadual;4.6
1502806;Municipal;3.3
1502806;Pública;3.5
1502855;Municipal;3.9
1502855;Pública;3.9
1502905;Estadual;4.3
1502905;Municipal;4.3
1502905;Pública;4.2
1502939;Municipal;4.7
1502939;Pública;4.7
1502954;Municipal;4.3
1502954;Pública;4.3
1503002;Estadual;4.3
1503002;Municipal;
1503002;Pública;4.0
1503044;Municipal;3.7
1503044;Pública;3.7
1503077;Municipal;3.7
1503077;Pública;3.7
1503093;Municipal;3.1
1503093;Pública;3.1
1503101;Estadual;
1503101;Municipal;3.1
1503101;Pública;3.1
1503200;Estadual;4.3
1503200;Municipal;3.9
1503200;Pública;4.2
1503309;Municipal;3.5
1503309;Pública;3.5
1503408;Estadual;4.4
1503408;Pública;4.4
1503457;Municipal;3.8
1503457;Pública;3.8
