CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1502707;Estadual;4.8
1502707;Municipal;4.7
1502707;Pública;4.7
1502756;Estadual;
1502756;Municipal;3.8
1502756;Pública;3.8
1502764;Municipal;4.2
1502764;Pública;4.2
1502772;Estadual;
1502772;Municipal;5.7
1502772;Pública;5.7
1502806;Estadual;4.2
1502806;Municipal;3.5
1502806;Pública;3.5
1502855;Municipal;3.9
1502855;Pública;3.9
1502905;Estadual;
1502905;Municipal;4.3
1502905;Pública;4.3
1502939;Municipal;5.4
1502939;Pública;5.4
1502954;Municipal;5.1
1502954;Pública;5.1
1503002;Estadual;
1503002;Municipal;5.4
1503002;Pública;5.4
1503044;Municipal;4.4
1503044;Pública;4.4
1503077;Municipal;4.4
1503077;Pública;4.4
1503093;Municipal;4.4
1503093;Pública;4.4
1503101;Estadual;
1503101;Municipal;3.7
1503101;Pública;3.7
1503200;Estadual;4.6
1503200;Municipal;4.2
1503200;Pública;4.3
1503309;Municipal;4.0
1503309;Pública;4.0
1503408;Estadual;
1503408;Municipal;4.0
1503408;Pública;4.0
1503457;Municipal;4.5
1503457;Pública;4.5
1503507;Estadual;
1503507;Municipal;4.1
1503507;Pública;4.1
1503606;Municipal;5.4
1503606;Pública;5.4
1503705;Estadual;
1503705;Municipal;4.5
1503705;Pública;4.5
1503754;Municipal;4.1
1503754;Pública;4.1
1503804;Municipal;4.2
1503804;Pública;4.2
1503903;Estadual;5.4
1503903;Municipal;4.9
1503903;Pública;5.0
1504000;Municipal;4.2
1504000;Pública;4.2
1504059;Municipal;5.0
1504059;Pública;5.0
1504109;Estadual;
1504109;Municipal;4.4
1504109;Pública;4.4
1504208;Municipal;5.4
1504208;Pública;5.4
1504307;Municipal;5.0
1504307;Pública;5.0
1504406;Municipal;4.6
1504406;Pública;4.6
1504422;Municipal;5.5
1504422;Pública;5.5
1504455;Municipal;4.4
1504455;Pública;4.4
1504505;Estadual;
1504505;Municipal;3.1
1504505;Pública;3.1
1504604;Municipal;4.2
1504604;Pública;4.2
1504703;Municipal;4.9
1504703;Pública;4.9
1504752;Municipal;5.1
1504752;Pública;5.1
1504802;Municipal;4.8
1504802;Pública;4.8
1504901;Municipal;4.6
1504901;Pública;4.6
1504950;Municipal;4.0
1504950;Pública;4.0
1504976;Municipal;4.7
1504976;Pública;4.7
1505007;Municipal;5.0
1505007;Pública;5.0
1505031;Municipal;5.2
1505031;Pública;5.2
1505064;Municipal;4.6
1505064;Pública;4.6
1505106;Municipal;4.3
1505106;Pública;4.3
1505205;Municipal;3.5
1505205;Pública;3.5
1505304;Municipal;4.6
1505304;Pública;4.6
1505403;Estadual;5.0
1505403;Municipal;5.3
1505403;Pública;5.0
1505437;Municipal;5.0
1505437;Pública;5.0
1505486;Municipal;4.2
1505486;Pública;4.2
1505494;Municipal;4.3
1505494;Pública;4.3
1505502;Municipal;5.4
1505502;Pública;5.4
1505536;Municipal;5.2
1505536;Pública;5.2
1505551;Municipal;3.9
1505551;Pública;3.9
1505601;Municipal;5.8
1505601;Pública;5.8
1505635;Municipal;5.1
1505635;Pública;5.1
1505650;Municipal;5.1
1505650;Pública;5.1
1505700;Estadual;5.8
1505700;Municipal;4.9
1505700;Pública;5.2
1505809;Municipal;3.4
1505809;Pública;3.4
1505908;Municipal;5.5
1505908;Pública;5.5
1506005;Municipal;4.3
1506005;Pública;4.3
1506104;Estadual;
1506104;Municipal;6.1
1506104;Pública;6.1
1506112;Estadual;
1506112;Municipal;4.7
1506112;Pública;4.7
1506138;Municipal;4.9
1506138;Pública;4.9
1506161;Estadual;
1506161;Municipal;4.7
1506161;Pública;4.7
1506187;Municipal;5.0
1506187;Pública;5.0
1506195;Municipal;5.2
1506195;Pública;5.2
1506203;Estadual;
1506203;Municipal;4.9
1506203;Pública;4.9
1506302;Municipal;4.4
1506302;Pública;4.4
1506351;Estadual;
1506351;Municipal;5.0
1506351;Pública;5.0
1506401;Estadual;
1506401;Municipal;4.9
1506401;Pública;4.9
1506500;Municipal;4.5
1506500;Pública;4.5
1506559;Municipal;3.9
1506559;Pública;3.9
1506583;Estadual;
1506583;Municipal;3.8
1506583;Pública;3.8
1506609;Estadual;4.1
1506609;Municipal;4.7
1506609;Pública;4.6
1506708;Municipal;4.6
1506708;Pública;4.6
1506807;Estadual;
1506807;Municipal;5.3
1506807;Pública;5.3
1506906;Municipal;5.1
1506906;Pública;5.1
1507003;Municipal;4.6
1507003;Pública;4.6
1507102;Estadual;
1507102;Municipal;4.3
1507102;Pública;4.3
1507151;Municipal;4.0
1507151;Pública;4.0
1507201;Estadual;4.7
1507201;Municipal;3.9
1507201;Pública;4.0
1507300;Municipal;4.1
1507300;Pública;4.1
1507409;Municipal;4.4
1507409;Pública;4.4
1507458;Municipal;5.0
1507458;Pública;5.0
1507466;Municipal;3.9
1507466;Pública;3.9
1507474;Municipal;4.8
1507474;Pública;4.8
1507508;Municipal;3.6
1507508;Pública;3.6
1507607;Municipal;4.6
1507607;Pública;4.6
1507706;Estadual;
1507706;Municipal;5.0
1507706;Pública;5.0
1507755;Municipal;4.8
1507755;Pública;4.8
1507805;Municipal;4.4
1507805;Pública;4.4
1507904;Municipal;4.4
1507904;Pública;4.4
1507953;Municipal;4.3
1507953;Pública;4.3
1507961;Estadual;
1507961;Municipal;4.6
1507961;Pública;4.6
1507979;Municipal;6.1
1507979;Pública;6.1
1508001;Municipal;5.3
1508001;Pública;5.3
1508035;Estadual;
1508035;Municipal;4.6
1508035;Pública;4.6
1508050;Municipal;4.5
1508050;Pública;4.5
1508084;Municipal;5.0
1508084;Pública;5.0
1508100;Municipal;4.5
1508100;Pública;4.5
1508126;Municipal;6.2
1508126;Pública;6.2
1508159;Municipal;5.2
1508159;Pública;5.2
1508209;Estadual;
1508209;Municipal;4.1
1508209;Pública;4.1
1508308;Municipal;4.4
1508308;Pública;4.4
1508357;Municipal;5.3
1508357;Pública;5.3
1508407;Municipal;4.9
1508407;Pública;4.9
1600055;Estadual;
1600055;Municipal;5.3
1600055;Pública;5.3
1600105;Estadual;
1600105;Municipal;3.8
1600105;Pública;3.8
1600154;Estadual;
1600154;Municipal;5.1
1600154;Pública;5.2
1600204;Estadual;3.6
1600204;Municipal;3.2
1600204;Pública;3.4
1600212;Estadual;
1600212;Municipal;
1600212;Pública;
1600238;Estadual;
1600238;Municipal;3.6
1600238;Pública;3.6
1600253;Estadual;
1600253;Municipal;3.1
1600253;Pública;3.2
1600279;Estadual;
1600279;Municipal;4.9
1600279;Pública;4.8
1600303;Estadual;4.8
1600303;Municipal;5.3
1600303;Pública;5.1
1600402;Estadual;3.9
1600402;Municipal;4.0
1600402;Pública;3.9
1600501;Estadual;
1600501;Municipal;3.6
1600501;Pública;3.7
1600535;Estadual;5.4
1600535;Municipal;4.3
1600535;Pública;4.5
1600550;Estadual;
1600550;Municipal;3.3
1600550;Pública;3.4
1600600;Estadual;5.4
1600600;Municipal;4.8
1600600;Pública;5.0
1600709;Estadual;
1600709;Municipal;4.6
1600709;Pública;4.5
1600808;Estadual;
1600808;Municipal;4.0
1600808;Pública;4.0
1700251;Estadual;
1700251;Municipal;6.0
1700251;Pública;6.0
1700301;Estadual;
1700301;Municipal;4.4
1700301;Pública;4.4
1700350;Estadual;6.7
1700350;Municipal;5.3
1700350;Pública;6.0
1700400;Estadual;
1700400;Municipal;4.9
1700400;Pública;4.9
1700707;Estadual;6.3
1700707;Municipal;5.8
1700707;Pública;5.9
1701002;Estadual;
1701002;Municipal;5.7
1701002;Pública;5.7
1701051;Estadual;
1701051;Municipal;5.0
1701051;Pública;5.0
1701101;Estadual;
1701101;Municipal;5.0
1701101;Pública;5.0
1701309;Estadual;
1701309;Municipal;4.4
1701309;Pública;4.4
1701903;Estadual;
1701903;Municipal;5.1
1701903;Pública;5.1
1702000;Estadual;5.5
1702000;Municipal;5.3
1702000;Pública;5.4
1702109;Estadual;
1702109;Municipal;5.8
1702109;Pública;5.8
1702158;Estadual;
1702158;Municipal;4.3
1702158;Pública;4.3
1702208;Estadual;
1702208;Municipal;5.4
1702208;Pública;5.4
1702307;Estadual;
1702307;Municipal;5.2
1702307;Pública;5.2
1702406;Estadual;
1702406;Municipal;4.3
1702406;Pública;4.3
1702554;Estadual;
1702554;Municipal;5.1
1702554;Pública;5.1
1702703;Estadual;
1702703;Municipal;4.4
1702703;Pública;4.4
1702901;Estadual;
1702901;Municipal;4.5
1702901;Pública;4.5
1703008;Estadual;
1703008;Municipal;4.3
1703008;Pública;4.3
1703057;Estadual;
1703057;Municipal;5.2
1703057;Pública;5.2
1703073;Estadual;
1703073;Municipal;
1703073;Pública;
1703107;Estadual;
1703107;Municipal;4.7
1703107;Pública;4.7
1703206;Estadual;
1703206;Municipal;4.6
1703206;Pública;4.6
1703305;Estadual;
1703305;Municipal;4.6
1703305;Pública;4.6
1703602;Municipal;5.2
1703602;Pública;5.2
1703701;Estadual;6.0
1703701;Municipal;5.1
1703701;Pública;5.5
1703800;Estadual;
1703800;Municipal;4.8
1703800;Pública;4.8
1703826;Estadual;
