CO_MUNICIPIO;REDE;VL_OBSERVADO_2023
1508100;Estadual;4.3
1508100;Federal;
1508100;Pública;4.4
1508126;Estadual;4.1
1508126;Pública;4.1
1508159;Estadual;4.2
1508159;Pública;4.2
1508209;Estadual;4.1
1508209;Pública;4.1
1508308;Estadual;3.4
1508308;Pública;3.4
1508357;Estadual;4.3
1508357;Pública;4.3
1508407;Estadual;4.3
1508407;Pública;4.3
1600055;Estadual;2.8
1600055;Pública;2.8
1600105;Estadual;
1600105;Pública;
1600154;Estadual;3.9
1600154;Pública;3.9
1600204;Estadual;
1600204;Pública;
1600212;Estadual;3.1
1600212;Pública;3.1
1600238;Estadual;3.4
1600238;Pública;3.4
1600253;Estadual;
1600253;Pública;
1600279;Estadual;3.3
1600279;Federal;
1600279;Pública;3.7
1600303;Estadual;3.6
1600303;Federal;
1600303;Pública;3.7
1600402;Estadual;3.3
1600402;Pública;3.3
1600501;Estadual;3.1
1600501;Pública;3.1
1600535;Estadual;3.4
1600535;Federal;
1600535;Pública;3.8
1600550;Estadual;3.2
1600550;Pública;3.2
1600600;Estadual;3.8
1600600;Federal;5.6
1600600;Pública;3.9
1600709;Estadual;2.9
1600709;Pública;2.9
1600808;Estadual;3.5
1600808;Pública;3.5
1700251;Estadual;3.8
1700251;Pública;3.8
1700301;Estadual;3.8
1700301;Pública;3.8
1700350;Estadual;4.4
1700350;Pública;4.4
1700400;Estadual;3.9
1700400;Pública;3.9
1700707;Estadual;4.4
1700707;Pública;4.4
1701002;Estadual;3.8
1701002;Pública;3.8
1701051;Estadual;4.5
1701051;Pública;4.5
1701101;Estadual;3.6
1701101;Pública;3.6
1701309;Estadual;4.0
1701309;Pública;4.0
1701903;Estadual;
1701903;Pública;
1702000;Estadual;4.4
1702000;Pública;4.4
1702109;Estadual;4.2
1702109;Federal;
1702109;Pública;4.3
1702158;Estadual;3.6
1702158;Pública;3.6
1702208;Estadual;4.1
1702208;Federal;4.4
1702208;Pública;4.2
1702307;Estadual;4.0
1702307;Pública;4.0
1702406;Estadual;4.3
1702406;Pública;4.3
1702554;Estadual;4.3
1702554;Pública;4.3
1702703;Estadual;3.9
1702703;Pública;3.9
1702901;Estadual;
1702901;Pública;
1703008;Estadual;3.5
1703008;Pública;3.5
1703057;Estadual;3.8
1703057;Pública;3.8
1703073;Estadual;3.5
1703073;Pública;3.5
1703107;Estadual;4.1
1703107;Pública;4.1
1703206;Estadual;3.9
1703206;Pública;3.9
1703305;Estadual;3.7
1703305;Pública;3.7
1703602;Estadual;3.7
1703602;Pública;3.7
1703701;Estadual;4.3
1703701;Pública;4.3
1703800;Estadual;4.1
1703800;Pública;4.1
1703826;Estadual;3.7
1703826;Pública;3.7
1703842;Estadual;3.4
1703842;Pública;3.4
1703867;Estadual;4.1
1703867;Pública;4.1
1703883;Estadual;4.7
1703883;Pública;4.7
1703891;Estadual;3.8
1703891;Pública;3.8
1703909;Estadual;3.6
1703909;Pública;3.6
1704105;Estadual;3.6
1704105;Pública;3.6
1705102;Estadual;3.8
1705102;Pública;3.8
1705508;Estadual;4.5
1705508;Federal;
1705508;Pública;4.5
1705557;Estadual;4.2
1705557;Pública;4.2
1705607;Estadual;3.7
1705607;Pública;3.7
1706001;Estadual;4.0
1706001;Pública;4.0
1706100;Estadual;4.1
1706100;Pública;4.1
1706258;Estadual;4.1
1706258;Pública;4.1
1706506;Estadual;4.1
1706506;Pública;4.1
1707009;Estadual;4.4
1707009;Federal;
1707009;Pública;4.4
1707108;Estadual;4.1
1707108;Pública;4.1
1707207;Estadual;3.9
1707207;Pública;3.9
1707306;Estadual;4.1
1707306;Pública;4.1
1707405;Estadual;3.3
1707405;Pública;3.3
1707553;Estadual;4.2
1707553;Pública;4.2
1707652;Estadual;4.4
1707652;Pública;4.4
1707702;Estadual;3.4
1707702;Pública;3.4
1708205;Estadual;3.9
1708205;Pública;3.9
1708254;Estadual;4.0
1708254;Pública;4.0
1708304;Estadual;3.7
1708304;Pública;3.7
1709005;Estadual;3.0
1709005;Pública;3.0
1709302;Estadual;4.3
1709302;Pública;4.3
1709500;Estadual;4.5
1709500;Federal;
1709500;Pública;4.5
1709807;Estadual;3.8
1709807;Pública;3.8
1710508;Estadual;4.4
1710508;Pública;4.4
1710706;Estadual;3.9
1710706;Pública;3.9
1710904;Estadual;4.0
1710904;Pública;4.0
1711100;Estadual;4.9
1711100;Pública;4.9
1711506;Estadual;4.0
1711506;Pública;4.0
1711803;Estadual;4.2
1711803;Pública;4.2
1711902;Estadual;3.5
1711902;Pública;3.5
1711951;Estadual;3.8
1711951;Pública;3.8
1712009;Estadual;4.4
1712009;Pública;4.4
1712157;Estadual;4.5
1712157;Pública;4.5
1712405;Estadual;3.9
1712405;Pública;3.9
1712454;Estadual;4.0
1712454;Pública;4.0
1712504;Estadual;3.5
1712504;Pública;3.5
1712702;Estadual;2.8
1712702;Pública;2.8
1712801;Estadual;4.1
1712801;Pública;4.1
1713205;Estadual;4.2
1713205;Pública;4.2
1713304;Estadual;4.2
1713304;Pública;4.2
1713601;Estadual;3.8
1713601;Pública;3.8
1713809;Estadual;3.6
1713809;Pública;3.6
1713957;Estadual;3.8
1713957;Pública;3.8
1714203;Estadual;4.2
1714203;Pública;4.2
1714302;Estadual;4.7
1714302;Pública;4.7
1714880;Estadual;3.6
1714880;Pública;3.6
1715002;Estadual;4.6
1715002;Pública;4.6
1715101;Estadual;3.7
1715101;Pública;3.7
1715150;Estadual;4.1
1715150;Pública;4.1
1715259;Estadual;3.4
1715259;Pública;3.4
1715507;Estadual;4.2
1715507;Pública;4.2
1715705;Estadual;3.8
1715705;Pública;3.8
1715754;Estadual;4.9
1715754;Pública;4.9
1716109;Estadual;4.2
1716109;Federal;
1716109;Pública;4.2
1716208;Estadual;3.8
1716208;Pública;3.8
1716307;Estadual;3.8
1716307;Pública;3.8
1716505;Estadual;4.0
1716505;Pública;4.0
1716604;Estadual;4.3
1716604;Pública;4.3
1716653;Estadual;4.1
1716653;Pública;4.1
1716703;Estadual;4.0
1716703;Pública;4.0
1717008;Estadual;3.9
1717008;Pública;3.9
1717206;Estadual;3.7
1717206;Pública;3.7
1717503;Estadual;3.5
1717503;Pública;3.5
1717800;Estadual;3.5
1717800;Pública;3.5
1717909;Estadual;3.3
1717909;Pública;3.3
1718006;Estadual;3.8
1718006;Pública;3.8
1718204;Estadual;4.0
1718204;Federal;4.5
1718204;Pública;4.1
1718303;Estadual;3.7
1718303;Pública;3.7
1718402;Estadual;4.1
1718402;Pública;4.1
1718451;Estadual;3.5
1718451;Pública;3.5
1718501;Estadual;3.9
1718501;Pública;3.9
1718550;Estadual;3.8
1718550;Pública;3.8
1718659;Estadual;3.6
1718659;Pública;3.6
1718709;Estadual;3.8
1718709;Pública;3.8
1718758;Estadual;3.7
1718758;Pública;3.7
1718808;Estadual;4.2
1718808;Pública;4.2
1718840;Estadual;4.2
1718840;Pública;4.2
1718865;Estadual;2.9
1718865;Pública;2.9
1718881;Estadual;3.6
1718881;Pública;3.6
1718899;Estadual;4.0
1718899;Pública;4.0
1718907;Estadual;3.7
1718907;Pública;3.7
1719004;Estadual;4.3
1719004;Pública;4.3
1720002;Estadual;4.4
1720002;Pública;4.4
1720101;Estadual;4.0
1720101;Pública;4.0
1720150;Estadual;3.5
1720150;Pública;3.5
1720200;Estadual;3.8
1720200;Pública;3.8
1720259;Estadual;4.1
1720259;Pública;4.1
1720309;Estadual;3.9
1720309;Pública;3.9
1720499;Estadual;4.4
1720499;Pública;4.4
1720655;Estadual;4.2
1720655;Pública;4.2
1720804;Estadual;3.3
1720804;Pública;3.3
1720853;Estadual;
1720853;Pública;
1720903;Estadual;4.2
1720903;Pública;4.2
1720937;Estadual;4.0
1720937;Pública;4.0
1720978;Estadual;4.1
1720978;Pública;4.1
1721000;Estadual;4.3
1721000;Federal;
1721000;Pública;4.4
1721109;Estadual;3.3
1721109;Pública;3.3
1721208;Estadual;4.7
1721208;Pública;4.7
1721257;Estadual;4.1
1721257;Pública;4.1
1721307;Estadual;3.1
1721307;Pública;3.1
1722081;Estadual;4.2
1722081;Pública;4.2
1722107;Estadual;3.9
1722107;Pública;3.9
2100055;Estadual;4.1
2100055;Federal;
